E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;X;X;X;X;X;X;X;X;X;X;h;h;h;X;E;E;X;X;X;E;E;E;E
E;E;E;E;E;E;E;E;E;X;X;X;X;h;h;h;X;X;0;0;0;0;0;0;0;0;0;0;0;0;E;E;E;E;0;X;X;h;h;h
E;E;E;E;E;X;X;X;X;X;0;0;0;0;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;h
E;E;E;h;h;h;0;0;0;0;0;0;0;0;0;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;h;h;h;0;0;0;0;0;0;0;0;0;0;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;X;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;0;0;0;0;0;0;0
X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;h;X;X;0;0;0;0
X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;h;E;E;X;X;X;X;X
X;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;E;E;E;E;E;E;E;E;E
E;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;E;E;E;E;E;E;E;E;E;E
E;h;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;E;E;E;E;E;E;E;E
E;E;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;E;E;E;E;E;E
E;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;E;E;E;E;E
E;E;E;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;E;E;E;E;E
E;E;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;E;E;E;E;E
E;E;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;X;h;h;h;X;X;0;0;0;0;0;0;0;0;0;0;h;h;E;E;E;E;E
E;E;E;E;E;E;X;h;0;0;0;0;0;0;0;0;0;X;h;h;E;E;X;X;X;X;X;0;0;0;0;0;0;h;h;E;E;E;E;E
E;E;E;E;E;E;h;h;0;0;0;0;0;0;0;0;0;X;X;E;E;E;E;h;h;h;X;0;0;0;0;0;0;h;h;h;E;E;E;E
E;E;E;E;E;E;h;h;0;0;0;0;0;0;0;0;0;0;E;E;E;E;h;h;h;X;0;0;0;0;0;0;0;0;h;h;h;X;X;X
E;E;E;E;E;E;h;h;0;0;0;0;0;0;0;0;0;0;0;0;X;X;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;E;E;E;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;E;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;E;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;E;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E;E;E;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;X;X;h
E;E;E;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;X;X;X;E;h;h
E;E;E;E;h;h;h;X;X;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;E;E;E;E;E;h;h
E;E;E;E;h;h;h;h;X;E;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;h;h;h;E;E;E;E;E;E;E
E;E;E;E;E;E;E;E;E;E;X;X;X;X;h;h;h;0;0;0;0;0;0;0;0;0;0;0;0;0;h;E;E;E;E;E;E;E;E;E
E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;h;E;E;E;h;h;h;0;0;0;0;0;X;X;E;E;E;E;E;E;E;E;E
E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;h;h;h;h;X;X;X;X;X;E;E;E;E;E;E;E;E;E;E
