0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M
W;W;W;W;W;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;W;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;W;M;M;M;W;W;M;M;M;M;M;M;M;M;W;W;W;W;W;W;W;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;W;W;W;W;W;M;M;M;M;M;M;M;0;0;0;0;0;0;0;0;0;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;W;W;W;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M
M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;W;W;W;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;W;W;W;W;W;W;M;M;M;W;M;M;M;M;M;M;M;M;M;W;W;W;W;W;W;W;M;M;M;M;M;W;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;M;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M
M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;W;W;W;W;W;W;M;M;M;M;W;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;W;M;M;M;M;M;M;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;W;W;W;W;W;W;W;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M
M;M;M;M;W;W;M;M;M;M;M;M;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;W;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;W;W;W;M;M;M;W;M;M;M;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;W;W;W;W;W;W;W;W
M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;M;M;W;W;W;W;W;M;M;M;M;M;M;M;M;M;W;W;W;W;W;M;M;M;M;M;W;M;M;M;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M
M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;W;W;W;W;W;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;W;W;M;M;M;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;0;0;0;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M
M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;W;W;W;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;W;W;W;W;W;M;M;W;W;M;M;W;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;M;M;W;W;W;W;W;M;M;M;M;M;M;M;M;W;W;W;W;W;W;W;W;M;M;M;M;M;M;M;W;M;M;M;W
W;M;M;M;M;M;M;M;M;M;M;M;M;W;W;W;W;M;M;M;M;M;M;W;M;M;M;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;W;W;W;W;M;M;M;M;M;M;M;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;M;W;W;W;W;M;M;M;M;M;W;W;W;W;M;M;M;M;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;W;W;M;M;M;M
M;M;M;M;M;M;M;M;M;M;M;M;W;W;M;W;W;M;M;M;M;M;M;W;W;W;W;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;W;M;M;M;M;M;W;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;0;0;0;M;M;M;M;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;W;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
