~;~;`;`;`;`;+;+;+;+;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;+;+;+;+;+;+;+;`;`;`;`;`;`;`;`;`;`;`;`
~;~;`;`;`;`;+;+;+;+;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;+;+;+;+;+;+;+;`;`;`;`;`;`;`;`;`;`;`;`
~;~;`;`;`;`;+;+;+;+;+;+;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;+;+;+;+;+;+;+;`;`;`;`;`;`;`;`;`;`;`;`
~;~;`;`;`;`;`;+;+;+;+;+;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;+;+;+;+;+;+;`;`;`;`;`;`;`;`;`;`;`;`
~;~;`;`;`;`;`;+;+;+;+;+;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;~;+;+;+;+;+;`;`;`;`;`;`;`;`;`;`;`;`;`
~;~;`;`;`;`;`;`;`;`;`;`;`;`;`;~;~;~;~;~;`;`;`;`;`;~;~;~;~;~;+;+;+;+;+;`;`;`;`;`;`;`;`;`;`;`;`;`
~;~;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;~;~;+;+;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`;+;+;+;+;+;+;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`;+;+;+;+;+;+;+;+;+;+;+;+;+;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;`;+;+;+;+;+;+;+;+;+;+;+;+;+;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`
`;`;`;`;`;`;`;~;~;~;~;+;+;+;+;+;+;+;+;+;+;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;`;+;+;+;+;+;+;+;`;`;`
`;`;`;`;`;`;`;~;~;~;~;~;+;+;+;+;~;~;~;+;+;+;+;`;`;`;`;`;`;`;`;`;~;~;~;~;~;~;+;+;+;+;+;+;+;+;+;+
`;`;`;`;`;`;`;~;~;~;~;~;~;~;~;~;~;~;~;+;+;+;+;`;`;`;`;`;`;`;`;`;~;~;~;~;~;~;~;~;~;+;+;+;+;+;+;+
`;`;`;`;`;`;`;~;~;~;~;~;~;~;~;~;~;~;~;+;+;+;+;`;`;`;`;`;`;`;`;`;~;~;~;~;~;~;~;~;~;+;+;+;+;+;+;+
